NeighClst,TotPop_2010,PctPopUnder18Years_2010,PctChgPopUnder18Yea_2000_2010,PctBlackNonHisp_2010,PctWhiteNonHisp_2010,PctHisp_2010,PctAsianPINonHisp_2010,PctForeignBorn_2007_11,PctFamiliesOwnChildrenFH_2007_11,Pct_births_teen_2010,Pct_births_teen_2011,AvgFamilyIncAdj_2007_11,PctPoorPersons_2007_11,PctUnemployed_2007_11,Pct16andOverEmployed_2007_11,Pct25andOverWoutHS_2007_11,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_property_2011,NumOccupiedHsgUnits_2010,PctVacantHsgUnitsForRent_2007_11,PctOwnerOccupiedHsgUnits_2007_11,sales_sf_2010,sales_sf_2011,sales_sf_2012,r_mprice_sf_2010,r_mprice_sf_2011,r_mprice_sf_2012
Cluster 1,18338,7.2,-20,11,69,13,6.8,21,6,1.4,2.8,162891,5.6,5.4,81,4.5,9.3,41,10992,4.8,38,20,27,26,1127000,1046000,1140000
Cluster 2,47378,15,-32,38,31,27,4.4,24,50,8.6,6.7,87204,17,8,71,21,13,47,19514,3.9,32,145,165,168,509000,505000,530000
Cluster 3,12174,7.8,-34,44,41,9.4,5,15,27,7.4,2.5,101583,17,7.5,61,15,22,75,5461,3.7,42,58,60,76,668000,627000,689000
Cluster 4,20464,8.1,46,3.7,81,6.4,8.4,15,12,0,0.5,304995,11,2.9,54,2,3.9,44,7375,9,55,150,158,162,1051000,1017000,1033000
Cluster 5,16160,1.4,62,6.7,75,5.7,12,19,4.1,0.7,0.4,211064,29,3.6,39,2.3,3,26,6413,11,31,7,5,10,i,i,813000
Cluster 6,17318,2.8,-24,7.7,73,8.2,11,20,16,0.5,1.2,177893,13,3.4,79,3.7,15,97,11413,4.2,32,19,16,17,923000,807000,1065000
Cluster 7,23895,9.7,-32,29,48,15,7.8,20,34,5.9,4.1,123697,12,4.9,76,14,11,48,13475,5.7,34,39,34,47,610000,630000,667000
Cluster 8,13560,10,-23,37,43,5.9,14,15,57,6.5,7.7,142881,26,12,62,16,22,105,7543,6.7,28,0,0,3,i,i,i
Cluster 9,11588,13,-16,56,33,5.2,5.2,13,69,12,14,94339,19,7.9,64,7.1,11,36,6787,2.5,42,10,10,10,667000,309000,692000
Cluster 10,11986,23,17,11,77,6.2,5.4,14,7.3,0.8,0.7,254541,3.7,2,63,4.4,1.3,14,4967,5,74,133,110,136,879000,834000,838000
Cluster 11,12216,19,18,5.6,80,6.7,7.6,15,12,0,0,215289,5.8,2,66,2.2,3,43,4846,0,78,132,122,135,847000,852000,854000
